EKS,Name
Datum,Date
2_4010_M51089,Active_Power_DKM1_Gas
2_4010_M52088,Active_Power_DKM2_Diesel
2_4010_M52089,Active_Power_DKM2_Gas
2_4010_M53088,Active_Power_DKM3_Diesel
2_1123_M22009,Air_Volume_Bio_ST1
2_1277_M24015,Air_Volume_Bio_ST2
Bio I_GV-RS,BioI_GV_RS
Bio I_ISV,BioI_ISV
Bio I_SV,BioI_SV
Bio I_TS-BB,BioI_TS_BB_Sample
Bio I_TS-BB 24h,BioI_TS_BB24h
Bio I_TS-ÜSS,BioI_TS_Excess_Sludge
Bio II_GV-RS,BioII_GV_RS
Bio II_ISV,BioII_ISV
Bio II_SV,BioII_SV
Bio II_TS-BB,BioII_TS_BB_Sample
Bio II_TS-BB 24h,BioII_TS_BB24h
Bio II_TS-ÜSS,BioII_TS_Excess_Sludge
2_1267_M99001,Branch_Shaft_Flow1u2
2_2070_M41580,CH4_Sewage_Gas_Analysis_Gasstation
2_3010_M43148,Conductivity_HPW
Dekantat_CSB,Dekantat_COD
Dekantat_NH4-N,Dekantat_NH4_N
Dekantat_ortho-P,Dekantat_ortho_P
Dekantat_pH-Wert,Dekantat_pH_Value
Dekantat_Abf. Soffe,Dekantat_SS
Dekantat_Gesamt-P,Dekantat_Total_P
2_1080_M02084,Density_Sludge_from_CLF_1
2_1080_M02085,Density_Sludge_from_CLF_2
2_1080_M02086,Density_Sludge_from_CLF_3
2_1080_M02087,Density_Sludge_from_CLF_4
2_2121_M42003,Density_Sludge_from_ED1
2_2121_M42011,Density_Sludge_from_ED2
2_2121_M42019,Density_Sludge_from_ED3
2_2122_M42027,Density_Sludge_from_ED4
2_2122_M42033,Density_Sludge_from_ED5
2_2122_M42039,Density_Sludge_from_ED6
2_2123_M42048,Density_Sludge_from_VBE2
2_1921_M27101,Dosage_AST1_St2_P
2_1921_M27102,Dosage_AST2_St2_P
2_1921_M27103,Dosage_AST3_St2_P
2_1921_M27104,Dosage_AST4_St2_P
2_1921_M27105,Dosage_Central_CL_P
2_1921_M27106,Dosage_EHW_P
Ablauf 24h_BSB 5,Effl_24h_BOD5
Ablauf 24h_CSB,Effl_24h_COD
Ablauf 24h_LF,Effl_24h_Cond
Ablauf 24h_KS 43,Effl_24h_KS43
Ablauf 24h_N-gesamt mg/l,Effl_24h_N_Total
Ablauf 24h_NH4-N,Effl_24h_NH4_N
Ablauf 24h_NO2-N,Effl_24h_NO2_N
Ablauf 24h_NO3-N,Effl_24h_NO3_N
Ablauf 24h_ortho-P,Effl_24h_ortho_P
Ablauf 24h_pH-Wert,Effl_24h_pH_Value
Ablauf 24h_Abf. Stoffe,Effl_24h_SS
Ablauf 24h_TKN,Effl_24h_TKN
Ablauf 24h_Gesamt-P,Effl_24h_Total_P
Ablauf 24h_Transmission,Effl_24h_UVT
Ablauf 2h_BSB 5,Effl_2h_BOD5
Ablauf 2h_CSB,Effl_2h_COD
Ablauf 2h_N-gesamt mg/l,Effl_2h_N_Total
Ablauf 2h_NH4-N,Effl_2h_NH4_N
Ablauf 2h_NO2-N,Effl_2h_NO2_N
Ablauf 2h_NO3-N ,Effl_2h_NO3_N
Ablauf 2h_ortho-P,Effl_2h_ortho_P
Ablauf 2h_Abf. Soffe,Effl_2h_SS
Ablauf 2h_Gesamt-P,Effl_2h_Total_P
2_4010_M54100,Electricity_Feed_IAW1
2_4010_M54101,Electricity_Feed_IAW2
2_1110_M17002,Flow_AS_to_AST1_1
2_1150_M27002,Flow_AS_to_AST1_2
2_1110_M17001,Flow_AS_to_AST2_1
